Knot_index,x,y,sol_analytic,sol_PDDS_GM,sol_PDDS_EM,err,rerr,sbias
0,-2.000000e+01,-3.000000e+01,2.946097e+00,2.946097e+00,2.946097e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,-2.000000e+01,-2.888889e+01,2.951929e+00,2.950645e+00,2.941755e+00,-1.284014e-03,4.349744e-04,8.890140e-03
2,-2.000000e+01,-2.777778e+01,2.962275e+00,2.947593e+00,2.868128e+00,-1.468212e-02,4.956367e-03,7.946475e-02
3,-2.000000e+01,-2.666667e+01,2.977084e+00,2.960747e+00,2.945067e+00,-1.633667e-02,5.487473e-03,1.568040e-02
4,-2.000000e+01,-2.555556e+01,2.996108e+00,2.987028e+00,2.967552e+00,-9.080077e-03,3.030624e-03,1.947627e-02
5,-2.000000e+01,-2.444444e+01,3.018908e+00,3.002716e+00,2.970919e+00,-1.619262e-02,5.363733e-03,3.179676e-02
6,-2.000000e+01,-2.333333e+01,3.044857e+00,3.037616e+00,3.004109e+00,-7.240298e-03,2.377878e-03,3.350707e-02
7,-2.000000e+01,-2.222222e+01,3.073147e+00,3.053472e+00,3.020048e+00,-1.967508e-02,6.402256e-03,3.342409e-02
8,-2.000000e+01,-2.111111e+01,3.102793e+00,3.081277e+00,3.039886e+00,-2.151582e-02,6.934339e-03,4.139150e-02
9,-2.000000e+01,-2.000000e+01,3.132616e+00,3.118665e+00,3.075903e+00,-1.395092e-02,4.453442e-03,4.276220e-02
10,-2.000000e+01,-1.888889e+01,3.161228e+00,3.139060e+00,3.091677e+00,-2.216740e-02,7.012274e-03,4.738310e-02
11,-2.000000e+01,-1.777778e+01,3.187007e+00,3.163925e+00,3.117273e+00,-2.308231e-02,7.242627e-03,4.665159e-02
12,-2.000000e+01,-1.666667e+01,3.208090e+00,3.181222e+00,3.127713e+00,-2.686769e-02,8.374980e-03,5.350946e-02
13,-2.000000e+01,-1.555556e+01,3.222414e+00,3.190531e+00,3.125269e+00,-3.188249e-02,9.893979e-03,6.526188e-02
14,-2.000000e+01,-1.444444e+01,3.227885e+00,3.202412e+00,3.146241e+00,-2.547368e-02,7.891755e-03,5.617027e-02
15,-2.000000e+01,-1.333333e+01,3.222764e+00,3.203979e+00,3.143601e+00,-1.878544e-02,5.828984e-03,6.037830e-02
16,-2.000000e+01,-1.222222e+01,3.206285e+00,3.166302e+00,3.097616e+00,-3.998263e-02,1.247008e-02,6.868588e-02
17,-2.000000e+01,-1.111111e+01,3.179361e+00,3.139530e+00,3.084016e+00,-3.983087e-02,1.252795e-02,5.551422e-02
18,-2.000000e+01,-1.000000e+01,3.144926e+00,3.120048e+00,3.068069e+00,-2.487783e-02,7.910464e-03,5.197992e-02
19,-2.000000e+01,-8.888889e+00,3.107428e+00,3.075026e+00,3.009787e+00,-3.240151e-02,1.042712e-02,6.523948e-02
20,-2.000000e+01,-7.777778e+00,3.071487e+00,3.033809e+00,2.978622e+00,-3.767870e-02,1.226725e-02,5.518643e-02
21,-2.000000e+01,-6.666667e+00,3.040481e+00,3.016505e+00,2.950925e+00,-2.397623e-02,7.885672e-03,6.557940e-02
22,-2.000000e+01,-5.555556e+00,3.015867e+00,2.983386e+00,2.931476e+00,-3.248023e-02,1.076978e-02,5.191090e-02
23,-2.000000e+01,-4.444444e+00,2.997433e+00,2.967637e+00,2.908817e+00,-2.979669e-02,9.940735e-03,5.881953e-02
24,-2.000000e+01,-3.333333e+00,2.984006e+00,2.945765e+00,2.882990e+00,-3.824128e-02,1.281542e-02,6.277467e-02
25,-2.000000e+01,-2.222222e+00,2.974105e+00,2.943606e+00,2.885028e+00,-3.049979e-02,1.025511e-02,5.857775e-02
26,-2.000000e+01,-1.111111e+00,2.966342e+00,2.935349e+00,2.879273e+00,-3.099279e-02,1.044815e-02,5.607670e-02
27,-2.000000e+01,0.000000e+00,2.959570e+00,2.929032e+00,2.880359e+00,-3.053721e-02,1.031812e-02,4.867318e-02
28,-2.000000e+01,1.111111e+00,2.952892e+00,2.896138e+00,2.874842e+00,-5.675470e-02,1.922004e-02,2.129550e-02
29,-2.000000e+01,2.222222e+00,2.945620e+00,2.927772e+00,2.870363e+00,-1.784800e-02,6.059167e-03,5.740819e-02
30,-2.000000e+01,3.333333e+00,2.937209e+00,2.915161e+00,2.849719e+00,-2.204808e-02,7.506473e-03,6.544157e-02
31,-2.000000e+01,4.444444e+00,2.927228e+00,2.917348e+00,2.868954e+00,-9.880344e-03,3.375324e-03,4.839332e-02
32,-2.000000e+01,5.555556e+00,2.915331e+00,2.911306e+00,2.858922e+00,-4.025024e-03,1.380640e-03,5.238470e-02
33,-2.000000e+01,6.666667e+00,2.901255e+00,2.891510e+00,2.847620e+00,-9.744792e-03,3.358820e-03,4.389051e-02
34,-2.000000e+01,7.777778e+00,2.884826e+00,2.883659e+00,2.828532e+00,-1.167775e-03,4.047990e-04,5.512631e-02
35,-2.000000e+01,8.888889e+00,2.865979e+00,2.874827e+00,2.825759e+00,8.848090e-03,3.087284e-03,4.906774e-02
36,-2.000000e+01,1.000000e+01,2.844773e+00,2.851767e+00,2.822444e+00,6.994071e-03,2.458569e-03,2.932270e-02
37,-2.000000e+01,1.111111e+01,2.821420e+00,2.823067e+00,2.769138e+00,1.647085e-03,5.837788e-04,5.392910e-02
38,-2.000000e+01,1.222222e+01,2.796306e+00,2.802667e+00,2.709509e+00,6.360761e-03,2.274701e-03,9.315798e-02
39,-2.000000e+01,1.333333e+01,2.770013e+00,2.750690e+00,2.722136e+00,-1.932286e-02,6.975730e-03,2.855387e-02
40,-2.000000e+01,1.444444e+01,2.743333e+00,2.726498e+00,2.702772e+00,-1.683510e-02,6.136732e-03,2.372616e-02
41,-2.000000e+01,1.555556e+01,2.717268e+00,2.706958e+00,2.684214e+00,-1.030993e-02,3.794228e-03,2.274394e-02
42,-2.000000e+01,1.666667e+01,2.693000e+00,2.683460e+00,2.664046e+00,-9.540799e-03,3.542814e-03,1.941364e-02
43,-2.000000e+01,1.777778e+01,2.671818e+00,2.654130e+00,2.639268e+00,-1.768814e-02,6.620263e-03,1.486205e-02
44,-2.000000e+01,1.888889e+01,2.654980e+00,2.619147e+00,2.608857e+00,-3.583344e-02,1.349669e-02,1.028943e-02
45,-2.000000e+01,2.000000e+01,2.643523e+00,2.616949e+00,2.609925e+00,-2.657411e-02,1.005254e-02,7.024175e-03
46,-2.000000e+01,2.111111e+01,2.638048e+00,2.596915e+00,2.590087e+00,-4.113319e-02,1.559228e-02,6.827786e-03
47,-2.000000e+01,2.222222e+01,2.638560e+00,2.616106e+00,2.596407e+00,-2.245333e-02,8.509693e-03,1.969887e-02
48,-2.000000e+01,2.333333e+01,2.644450e+00,2.619665e+00,2.613077e+00,-2.478500e-02,9.372462e-03,6.588155e-03
49,-2.000000e+01,2.444444e+01,2.654664e+00,2.641650e+00,2.636861e+00,-1.301390e-02,4.902279e-03,4.788726e-03
50,-2.000000e+01,2.555556e+01,2.668001e+00,2.639740e+00,2.635950e+00,-2.826163e-02,1.059281e-02,3.789125e-03
51,-2.000000e+01,2.666667e+01,2.683422e+00,2.659440e+00,2.548739e+00,-2.398224e-02,8.937187e-03,1.107010e-01
52,-2.000000e+01,2.777778e+01,2.700242e+00,2.688276e+00,2.686486e+00,-1.196625e-02,4.431548e-03,1.789545e-03
53,-2.000000e+01,2.888889e+01,2.718165e+00,2.716315e+00,2.714692e+00,-1.849536e-03,6.804357e-04,1.623037e-03
54,-2.000000e+01,3.000000e+01,2.737194e+00,2.737194e+00,2.737194e+00,0.000000e+00,0.000000e+00,0.000000e+00
55,-1.000000e+01,-3.000000e+01,2.554109e+00,2.554109e+00,2.554109e+00,-1.332268e-15,5.216173e-16,8.881784e-16
56,-1.000000e+01,-2.888889e+01,2.593998e+00,2.576000e+00,2.566828e+00,-1.799847e-02,6.938507e-03,9.171716e-03
57,-1.000000e+01,-2.777778e+01,2.641302e+00,2.651692e+00,2.633307e+00,1.038997e-02,3.933653e-03,1.838506e-02
58,-1.000000e+01,-2.666667e+01,2.694414e+00,2.692680e+00,2.669442e+00,-1.733396e-03,6.433295e-04,2.323895e-02
59,-1.000000e+01,-2.555556e+01,2.751570e+00,2.764334e+00,2.705028e+00,1.276449e-02,4.638983e-03,5.930657e-02
60,-1.000000e+01,-2.444444e+01,2.810979e+00,2.816119e+00,2.645737e+00,5.140016e-03,1.828550e-03,1.703815e-01
61,-1.000000e+01,-2.333333e+01,2.870922e+00,2.865746e+00,2.810003e+00,-5.176803e-03,1.803184e-03,5.574258e-02
62,-1.000000e+01,-2.222222e+01,2.929808e+00,2.921630e+00,2.859440e+00,-8.178265e-03,2.791400e-03,6.219028e-02
63,-1.000000e+01,-2.111111e+01,2.986182e+00,2.965057e+00,2.893515e+00,-2.112418e-02,7.073975e-03,7.154270e-02
64,-1.000000e+01,-2.000000e+01,3.038713e+00,3.025048e+00,2.938763e+00,-1.366503e-02,4.496978e-03,8.628502e-02
65,-1.000000e+01,-1.888889e+01,3.086177e+00,3.056681e+00,2.974929e+00,-2.949540e-02,9.557263e-03,8.175219e-02
66,-1.000000e+01,-1.777778e+01,3.127448e+00,3.097036e+00,3.007288e+00,-3.041214e-02,9.724269e-03,8.974756e-02
67,-1.000000e+01,-1.666667e+01,3.161519e+00,3.124172e+00,3.028570e+00,-3.734635e-02,1.181279e-02,9.560207e-02
68,-1.000000e+01,-1.555556e+01,3.187553e+00,3.151857e+00,3.054972e+00,-3.569618e-02,1.119862e-02,9.688476e-02
69,-1.000000e+01,-1.444444e+01,3.204967e+00,3.161576e+00,3.036694e+00,-4.339134e-02,1.353878e-02,1.248814e-01
70,-1.000000e+01,-1.333333e+01,3.213544e+00,3.172636e+00,3.002352e+00,-4.090818e-02,1.272993e-02,1.702840e-01
71,-1.000000e+01,-1.222222e+01,3.213540e+00,3.147720e+00,3.017580e+00,-6.582025e-02,2.048216e-02,1.301401e-01
72,-1.000000e+01,-1.111111e+01,3.205760e+00,3.155282e+00,3.028348e+00,-5.047772e-02,1.574595e-02,1.269341e-01
73,-1.000000e+01,-1.000000e+01,3.191538e+00,3.143882e+00,3.063206e+00,-4.765568e-02,1.493189e-02,8.067609e-02
74,-1.000000e+01,-8.888889e+00,3.172608e+00,3.121348e+00,2.998457e+00,-5.125999e-02,1.615705e-02,1.228917e-01
75,-1.000000e+01,-7.777778e+00,3.150882e+00,3.098315e+00,3.089276e+00,-5.256694e-02,1.668325e-02,9.039386e-03
76,-1.000000e+01,-6.666667e+00,3.128187e+00,3.084574e+00,2.943371e+00,-4.361339e-02,1.394206e-02,1.412024e-01
77,-1.000000e+01,-5.555556e+00,3.106073e+00,3.066824e+00,2.952014e+00,-3.924908e-02,1.263624e-02,1.148101e-01
78,-1.000000e+01,-4.444444e+00,3.085714e+00,2.913423e+00,2.885645e+00,-1.722907e-01,5.583496e-02,2.777752e-02
79,-1.000000e+01,-3.333333e+00,3.067912e+00,3.043624e+00,2.917121e+00,-2.428794e-02,7.916764e-03,1.265035e-01
80,-1.000000e+01,-2.222222e+00,3.053149e+00,3.033064e+00,2.928034e+00,-2.008552e-02,6.578624e-03,1.050298e-01
81,-1.000000e+01,-1.111111e+00,3.041627e+00,3.017150e+00,2.922906e+00,-2.447714e-02,8.047383e-03,9.424394e-02
82,-1.000000e+01,0.000000e+00,3.033287e+00,3.023960e+00,2.936746e+00,-9.326952e-03,3.074866e-03,8.721429e-02
83,-1.000000e+01,1.111111e+00,3.027812e+00,3.013471e+00,2.914884e+00,-1.434136e-02,4.736543e-03,9.858691e-02
84,-1.000000e+01,2.222222e+00,3.024635e+00,3.017784e+00,2.929469e+00,-6.850799e-03,2.265000e-03,8.831473e-02
85,-1.000000e+01,3.333333e+00,3.022976e+00,3.012610e+00,2.930679e+00,-1.036583e-02,3.429015e-03,8.193072e-02
86,-1.000000e+01,4.444444e+00,3.021913e+00,3.010063e+00,2.932922e+00,-1.184998e-02,3.921351e-03,7.714125e-02
87,-1.000000e+01,5.555556e+00,3.020469e+00,3.010464e+00,2.939404e+00,-1.000526e-02,3.312485e-03,7.105953e-02
88,-1.000000e+01,6.666667e+00,3.017701e+00,3.018679e+00,2.952947e+00,9.777210e-04,3.239953e-04,6.573164e-02
89,-1.000000e+01,7.777778e+00,3.012782e+00,2.999241e+00,2.940617e+00,-1.354114e-02,4.494565e-03,5.862423e-02
90,-1.000000e+01,8.888889e+00,3.005066e+00,2.992920e+00,2.935798e+00,-1.214533e-02,4.041618e-03,5.712259e-02
91,-1.000000e+01,1.000000e+01,2.994140e+00,2.993951e+00,2.935469e+00,-1.886379e-04,6.300236e-05,5.848203e-02
92,-1.000000e+01,1.111111e+01,2.979878e+00,2.970789e+00,2.922019e+00,-9.088971e-03,3.050115e-03,4.877081e-02
93,-1.000000e+01,1.222222e+01,2.962484e+00,2.937374e+00,2.896564e+00,-2.511060e-02,8.476196e-03,4.081006e-02
94,-1.000000e+01,1.333333e+01,2.942545e+00,2.926519e+00,2.893614e+00,-1.602572e-02,5.446211e-03,3.290444e-02
95,-1.000000e+01,1.444444e+01,2.921083e+00,2.890232e+00,2.871346e+00,-3.085073e-02,1.056140e-02,1.888624e-02
96,-1.000000e+01,1.555556e+01,2.899604e+00,2.869762e+00,2.848505e+00,-2.984235e-02,1.029187e-02,2.125638e-02
97,-1.000000e+01,1.666667e+01,2.880087e+00,2.841043e+00,2.833695e+00,-3.904486e-02,1.355683e-02,7.347730e-03
98,-1.000000e+01,1.777778e+01,2.864863e+00,2.816945e+00,2.820357e+00,-4.791777e-02,1.672602e-02,3.411989e-03
99,-1.000000e+01,1.888889e+01,2.856257e+00,2.795353e+00,2.814459e+00,-6.090422e-02,2.132309e-02,1.910608e-02
100,-1.000000e+01,2.000000e+01,2.855944e+00,2.742270e+00,2.820221e+00,-1.136740e-01,3.980260e-02,7.795093e-02
101,-1.000000e+01,2.111111e+01,2.864116e+00,2.789115e+00,2.818852e+00,-7.500158e-02,2.618664e-02,2.973705e-02
102,-1.000000e+01,2.222222e+01,2.878932e+00,2.818267e+00,2.832868e+00,-6.066493e-02,2.107203e-02,1.460101e-02
103,-1.000000e+01,2.333333e+01,2.896820e+00,2.842842e+00,2.851062e+00,-5.397812e-02,1.863358e-02,8.219928e-03
104,-1.000000e+01,2.444444e+01,2.913773e+00,2.865492e+00,2.870480e+00,-4.828026e-02,1.656967e-02,4.987174e-03
105,-1.000000e+01,2.555556e+01,2.926899e+00,2.902186e+00,2.888465e+00,-2.471306e-02,8.443428e-03,1.372088e-02
106,-1.000000e+01,2.666667e+01,2.935266e+00,2.907350e+00,2.919246e+00,-2.791561e-02,9.510422e-03,1.189630e-02
107,-1.000000e+01,2.777778e+01,2.939725e+00,2.913190e+00,2.906282e+00,-2.653473e-02,9.026262e-03,6.908126e-03
108,-1.000000e+01,2.888889e+01,2.942166e+00,2.933455e+00,2.936669e+00,-8.710488e-03,2.960570e-03,3.214354e-03
109,-1.000000e+01,3.000000e+01,2.944763e+00,2.944763e+00,2.944763e+00,8.881784e-16,3.016129e-16,8.881784e-16
110,0.000000e+00,-3.000000e+01,2.389987e+00,2.389987e+00,2.389987e+00,-8.881784e-16,3.716248e-16,8.881784e-16
111,0.000000e+00,-2.888889e+01,2.420851e+00,2.435663e+00,2.427714e+00,1.481218e-02,6.118585e-03,7.949471e-03
112,0.000000e+00,-2.777778e+01,2.461759e+00,2.483924e+00,2.461258e+00,2.216472e-02,9.003610e-03,2.266562e-02
113,0.000000e+00,-2.666667e+01,2.512842e+00,2.521336e+00,2.505544e+00,8.494202e-03,3.380317e-03,1.579287e-02
114,0.000000e+00,-2.555556e+01,2.574041e+00,2.567821e+00,2.542712e+00,-6.219995e-03,2.416432e-03,2.510873e-02
115,0.000000e+00,-2.444444e+01,2.644918e+00,2.646105e+00,2.635313e+00,1.187001e-03,4.487855e-04,1.079205e-02
116,0.000000e+00,-2.333333e+01,2.724423e+00,2.725488e+00,2.687345e+00,1.064862e-03,3.908578e-04,3.814265e-02
117,0.000000e+00,-2.222222e+01,2.810696e+00,2.790635e+00,2.750534e+00,-2.006150e-02,7.137556e-03,4.010050e-02
118,0.000000e+00,-2.111111e+01,2.901051e+00,2.872736e+00,2.823879e+00,-2.831494e-02,9.760238e-03,4.885701e-02
119,0.000000e+00,-2.000000e+01,2.992215e+00,2.938204e+00,2.886114e+00,-5.401044e-02,1.805032e-02,5.209048e-02
120,0.000000e+00,-1.888889e+01,3.080784e+00,3.052008e+00,2.987274e+00,-2.877563e-02,9.340360e-03,6.473373e-02
121,0.000000e+00,-1.777778e+01,3.163707e+00,3.116931e+00,3.062479e+00,-4.677564e-02,1.478507e-02,5.445225e-02
122,0.000000e+00,-1.666667e+01,3.238615e+00,3.241878e+00,3.167990e+00,3.262427e-03,1.007353e-03,7.388753e-02
123,0.000000e+00,-1.555556e+01,3.303920e+00,3.259102e+00,3.177327e+00,-4.481802e-02,1.356510e-02,8.177459e-02
124,0.000000e+00,-1.444444e+01,3.358719e+00,3.366036e+00,3.298248e+00,7.316440e-03,2.178342e-03,6.778744e-02
125,0.000000e+00,-1.333333e+01,3.402631e+00,3.381149e+00,3.292254e+00,-2.148129e-02,6.313140e-03,8.889588e-02
126,0.000000e+00,-1.222222e+01,3.435626e+00,3.453661e+00,3.389199e+00,1.803455e-02,5.249276e-03,6.446154e-02
127,0.000000e+00,-1.111111e+01,3.457916e+00,3.468311e+00,3.392083e+00,1.039527e-02,3.006224e-03,7.622879e-02
128,0.000000e+00,-1.000000e+01,3.469887e+00,3.474024e+00,3.403422e+00,4.137046e-03,1.192271e-03,7.060176e-02
129,0.000000e+00,-8.888889e+00,3.472086e+00,3.467938e+00,3.361309e+00,-4.148761e-03,1.194890e-03,1.066290e-01
130,0.000000e+00,-7.777778e+00,3.465243e+00,3.467275e+00,3.368898e+00,2.032329e-03,5.864897e-04,9.837742e-02
131,0.000000e+00,-6.666667e+00,3.450306e+00,3.426753e+00,3.311766e+00,-2.355297e-02,6.826343e-03,1.149870e-01
132,0.000000e+00,-5.555556e+00,3.428500e+00,3.446975e+00,3.369774e+00,1.847484e-02,5.388607e-03,7.720154e-02
133,0.000000e+00,-4.444444e+00,3.401377e+00,3.442185e+00,3.363170e+00,4.080851e-02,1.199764e-02,7.901539e-02
134,0.000000e+00,-3.333333e+00,3.370822e+00,3.392895e+00,3.315185e+00,2.207296e-02,6.548243e-03,7.771021e-02
135,0.000000e+00,-2.222222e+00,3.338993e+00,3.373446e+00,3.298514e+00,3.445302e-02,1.031839e-02,7.493238e-02
136,0.000000e+00,-1.111111e+00,3.308123e+00,3.349351e+00,3.278661e+00,4.122753e-02,1.246251e-02,7.068995e-02
137,0.000000e+00,0.000000e+00,3.280210e+00,3.309762e+00,3.248002e+00,2.955210e-02,9.009212e-03,6.176005e-02
138,0.000000e+00,1.111111e+00,3.256670e+00,3.307162e+00,3.245788e+00,5.049244e-02,1.550432e-02,6.137383e-02
139,0.000000e+00,2.222222e+00,3.238120e+00,3.304306e+00,3.236096e+00,6.618589e-02,2.043960e-02,6.821059e-02
140,0.000000e+00,3.333333e+00,3.224387e+00,3.260420e+00,3.192435e+00,3.603277e-02,1.117508e-02,6.798482e-02
141,0.000000e+00,4.444444e+00,3.214696e+00,3.232057e+00,3.171186e+00,1.736037e-02,5.400314e-03,6.087062e-02
142,0.000000e+00,5.555556e+00,3.207936e+00,3.257861e+00,3.199253e+00,4.992523e-02,1.556304e-02,5.860817e-02
143,0.000000e+00,6.666667e+00,3.202887e+00,3.257805e+00,3.203584e+00,5.491809e-02,1.714643e-02,5.422129e-02
144,0.000000e+00,7.777778e+00,3.198396e+00,3.225356e+00,3.169981e+00,2.695988e-02,8.429189e-03,5.537471e-02
145,0.000000e+00,8.888889e+00,3.193494e+00,3.240745e+00,3.196838e+00,4.725170e-02,1.479624e-02,4.390685e-02
146,0.000000e+00,1.000000e+01,3.187473e+00,3.222810e+00,3.174260e+00,3.533681e-02,1.108615e-02,4.854962e-02
147,0.000000e+00,1.111111e+01,3.179937e+00,3.219707e+00,3.175981e+00,3.977001e-02,1.250654e-02,4.372634e-02
148,0.000000e+00,1.222222e+01,3.170819e+00,3.195793e+00,3.150478e+00,2.497378e-02,7.876129e-03,4.531429e-02
149,0.000000e+00,1.333333e+01,3.160372e+00,3.192134e+00,3.150528e+00,3.176263e-02,1.005028e-02,4.160583e-02
150,0.000000e+00,1.444444e+01,3.149121e+00,3.173057e+00,3.134769e+00,2.393512e-02,7.600571e-03,3.828729e-02
151,0.000000e+00,1.555556e+01,3.137771e+00,3.176096e+00,3.056789e+00,3.832468e-02,1.221398e-02,1.193063e-01
152,0.000000e+00,1.666667e+01,3.127043e+00,3.167024e+00,3.134132e+00,3.998126e-02,1.278564e-02,3.289196e-02
153,0.000000e+00,1.777778e+01,3.117472e+00,3.141799e+00,3.110688e+00,2.432707e-02,7.803461e-03,3.111127e-02
154,0.000000e+00,1.888889e+01,3.109188e+00,3.122132e+00,3.102740e+00,1.294348e-02,4.162977e-03,1.939171e-02
155,0.000000e+00,2.000000e+01,3.101771e+00,3.100754e+00,3.081043e+00,-1.017251e-03,3.279580e-04,1.971100e-02
156,0.000000e+00,2.111111e+01,3.094293e+00,3.106926e+00,3.088111e+00,1.263245e-02,4.082501e-03,1.881453e-02
157,0.000000e+00,2.222222e+01,3.085587e+00,3.097537e+00,3.062981e+00,1.195027e-02,3.872931e-03,3.455576e-02
158,0.000000e+00,2.333333e+01,3.074671e+00,3.086014e+00,3.054765e+00,1.134296e-02,3.689161e-03,3.124848e-02
159,0.000000e+00,2.444444e+01,3.061142e+00,3.078092e+00,3.063108e+00,1.694999e-02,5.537147e-03,1.498352e-02
160,0.000000e+00,2.555556e+01,3.045356e+00,3.056555e+00,3.045745e+00,1.119905e-02,3.677419e-03,1.080919e-02
161,0.000000e+00,2.666667e+01,3.028349e+00,3.027624e+00,3.021163e+00,-7.247378e-04,2.393178e-04,6.461285e-03
162,0.000000e+00,2.777778e+01,3.011590e+00,3.011557e+00,3.007709e+00,-3.284026e-05,1.090462e-05,3.848716e-03
163,0.000000e+00,2.888889e+01,2.996695e+00,2.992071e+00,2.975080e+00,-4.624123e-03,1.543074e-03,1.699125e-02
164,0.000000e+00,3.000000e+01,2.985192e+00,2.985192e+00,2.985192e+00,0.000000e+00,0.000000e+00,0.000000e+00
165,1.000000e+01,-3.000000e+01,2.408366e+00,2.408366e+00,2.408366e+00,0.000000e+00,0.000000e+00,0.000000e+00
166,1.000000e+01,-2.888889e+01,2.441602e+00,2.452187e+00,2.447257e+00,1.058497e-02,4.335255e-03,4.929625e-03
167,1.000000e+01,-2.777778e+01,2.488089e+00,2.477029e+00,2.471177e+00,-1.106000e-02,4.445179e-03,5.852217e-03
168,1.000000e+01,-2.666667e+01,2.548848e+00,2.599533e+00,2.565322e+00,5.068476e-02,1.988536e-02,3.421089e-02
169,1.000000e+01,-2.555556e+01,2.624344e+00,2.622963e+00,2.595922e+00,-1.380999e-03,5.262263e-04,2.704155e-02
170,1.000000e+01,-2.444444e+01,2.713778e+00,2.757052e+00,2.740949e+00,4.327325e-02,1.594576e-02,1.610241e-02
171,1.000000e+01,-2.333333e+01,2.814382e+00,2.873496e+00,2.829990e+00,5.911335e-02,2.100402e-02,4.350522e-02
172,1.000000e+01,-2.222222e+01,2.921299e+00,2.975229e+00,2.947006e+00,5.392966e-02,1.846085e-02,2.822298e-02
173,1.000000e+01,-2.111111e+01,3.028478e+00,3.117667e+00,3.087155e+00,8.918909e-02,2.945014e-02,3.051197e-02
